,weighted_mean,freq,min,max,std
NP JJ NN ,0.7456465463112995,177,0.6101197856,0.8687935026,0.07485133323692685
VVP NN NN ,0.6785947371169493,59,0.6157540824,0.868430942,0.07299718382917428
JJ VVN NN ,0.8076448330065041,123,0.6453009515,0.8648409254,0.06252605686801307
VV NN VVG ,0.8644998293,2,0.8644998293,0.8644998293,0.0
VVZ NN NN ,0.7390765552180854,94,0.6550401873,0.8624987428,0.06113988855894345
NNS NN NN ,0.7149830545318426,559,0.609224654,0.8624987428,0.05750395038389694
NN NN JJ ,0.7366811410144067,236,0.6052296569,0.8614675195,0.04498148512814516
NNS NN VVP ,0.8614094122,1,0.8614094122,0.8614094122,0.0
JJ NN VVZ ,0.6738236250915423,201,0.6034355548,0.8600543547,0.06417190512114809
NN NP NP ,0.7797636198142858,21,0.6950741465,0.8599121705,0.03578550405048076
VV JJ NN ,0.7108515110504204,119,0.631258517,0.8589904678,0.0806599789595967
JJ NN VVG ,0.7496499246313253,166,0.6047819127,0.8572573162,0.06202773877227977
NP VVN NN ,0.8569235237000001,10,0.8569235237,0.8569235237,1.1102230246251565e-16
VVN JJ NNS ,0.76030215204,5,0.6975421123,0.856403532,0.0592382483658541
VVD JJ NNS ,0.765232576207971,414,0.6464270871,0.856403532,0.02715213578252923
JJ JJ NNS ,0.7529943982613964,1461,0.6170149077,0.856403532,0.03850366892633471
VV DT ,0.8557572756,9,0.8557572756,0.8557572756,0.0
RBR DT ,0.8557572756,4,0.8557572756,0.8557572756,0.0
JJR PDT ,0.8557572756,2,0.8557572756,0.8557572756,0.0
VV PDT ,0.8557572756,1,0.8557572756,0.8557572756,0.0
JJR DT ,0.8557572756,1,0.8557572756,0.8557572756,0.0
JJ NNS NP ,0.8152862186261903,42,0.7574018052,0.8555611643,0.036106244021215976
RB NNS ,0.7919109930222221,9,0.6275495956,0.853101409,0.09006782980536412
NP VVN ,0.7993656216444445,18,0.7022458942,0.8527754038,0.044471724612498736
NNS VVP JJ ,0.8511867615999998,12,0.8511867616,0.8511867616,1.1102230246251565e-16
JJ NP NN NN ,0.8501833956000001,14,0.8501833956,0.8501833956,1.1102230246251565e-16
FW FW ,0.800467620480392,51,0.7682091528,0.8495706893,0.03055296051025032
JJ VVG NNS ,0.8472313202,6,0.8398625687,0.8487050705,0.0032954058526607133
NN JJR ,0.7255636704,3,0.6644806646,0.847729682,0.08638441523287442
VVN IN ,0.7155305742091742,218,0.6475612279,0.8472394154,0.03008971180078117
VVG NN JJ ,0.8451297997222222,18,0.8127157675,0.8470365075,0.007861557564964521
VVG VV JJ ,0.8470365075,2,0.8470365075,0.8470365075,0.0
RB VVN NN ,0.7353434146873683,95,0.6625567274,0.8458860473,0.064317446127587
JJ JJ NN NNS JJ ,0.845527026,4,0.845527026,0.845527026,0.0
RB JJ NN NNS JJ ,0.845527026,24,0.845527026,0.845527026,0.0
NN JJ NN ,0.7048319787906685,1511,0.6101197856,0.8417392234,0.05765525595953892
NP JJ NP ,0.82283702365,8,0.8039348239,0.8417392234,0.01890219974999996
NP VVD NP ,0.8417392234,2,0.8417392234,0.8417392234,0.0
VV NN NNS ,0.6719865025458016,131,0.6074406429,0.8408592732,0.059171404626031314
JJ NN VVG NN ,0.6793168445479998,100,0.6004614611,0.8407172531,0.062146267581485115
NN NNS NN ,0.7060705380460095,213,0.6295441589,0.8401788727,0.06182714068878701
NN NNS VVP ,0.7161998616999999,14,0.6486949741,0.8401788727,0.06189071041598053
JJ VVP VV ,0.8375907742,1,0.8375907742,0.8375907742,0.0
JJ NNS NN ,0.7273191039572577,124,0.6472496724,0.8360850792,0.04581700575243863
